	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_42	0	0	0	0	0	0	0	0	1.77878e-06	0	0	0	0	0	0.000826827	0	0.00558318	0	0	0	0	0	0.00557044	0	0	0	0.00145029	0.0064153	0.00557867	0.00742359	0	0.000663197	0	0	0.00066317	0	0.00120987	0	0	0	0	3.79164e-05	0	0.000397888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_43	0	0	0	0	0	0	0	0	2.45292e-05	0	1.79275e-05	0	0	0	0	0	0	3.85668e-06	2.61167e-05	0	0	0	0	2.58159e-05	0.000823534	0	0	0	0	7.8475e-06	0.000819921	0	0	0	0	0	0	0	0.0018658	0	0	0	0	0.000182571	0	0.0014324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000645641	0	0	0.000397888	0	0	0	0.000649266	0.000398805	0	0	0	0.00162305	0	0.00599314	1.37297e-05	0.00480793	0	0	0	0	0	0	0	0	0	0	0	0.00041821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00121876	4.07857e-05	0	4.62484e-06	0	1.76126e-05	0	0	0	0.00081051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82039e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00481733	0.00682695	7.79167e-06	0	0	0	0	0	0.00161234	0	0	0	0	1.47868e-05	3.88618e-06	0	0	0.000841767	0	0	0	0	0	0	0	1.6434e-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000189891	0	0	0	6.34318e-06	0	0	0	0	0	0	0
d2_47	0	0	0	0	0	0	0	0	0	0	0	0	2.1095e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.00557548	0	0	0	0.00146851	0	0	0	0	0	0	0	0	0	0.00557044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000802744	0	0	0	0	0	0	0	0	0	0	0	0	5.07322e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00676776	0	0	0.000430744	0.0048016	0	3.44339e-06	0	0	2.14245e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3358e-05	0	0	0	0	0	6.64433e-06	0	0	0	0	0.00119366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
